Sender Reputation,Email Subject,Email Body,Attachment Type,Links in Email,Email Header Info,Time of Arrival,Email Recipients,Spam/Phishing Indicators,Metadata Creation Date,Metadata Modification Date,Email Length,Number of Attachments,Time Since Last Email,Frequency of Email,Subjectivity Score,Number of Recipients,Time of Day,Label
0.021986117608744027,delivery confirmation,delivery confirmation,.txt,0,0.4298211159905396,0.16571674230354572,3,0,2023-08-09 17:17:45.102327,2024-07-17 17:17:45.102327,447,0,14,3,0.7725377546212925,1,afternoon,0
0.3997180242982704,details attached,thank you,.txt,1,0.4873449061241272,0.8176852209137102,9,0,2023-08-14 00:44:35.410048,2023-11-07 00:44:35.410048,440,1,13,2,0.6902001572615032,9,evening,0
0.1348659106721023,urgent,action required,.js,0,0.911600430784764,0.7835152580175107,3,0,2023-09-05 09:29:52.310772,2024-05-29 09:29:52.310772,234,2,8,4,0.6313223078219767,1,evening,1
0.8070717162887464,thank you,attached file,.png,1,0.31075127638835365,0.7812465576745501,6,0,2023-12-15 16:33:28.044905,2024-11-07 16:33:28.044905,572,0,22,2,0.4269911659524549,4,morning,0
0.3888187106069586,attached file,confirmation,.jpg,1,0.033797373097992134,0.903695764231218,9,0,2024-02-22 12:27:41.205725,2024-09-18 12:27:41.205725,304,3,27,4,0.7238457892170822,6,morning,0
0.4919493984138983,delivery confirmation,newsletter,.png,0,0.014618248801051226,0.17782375830415798,6,0,2023-11-04 01:14:58.631483,2024-05-20 01:14:58.631483,339,4,22,8,0.15189718597934,1,morning,0
0.7020723590637574,account suspension,verify your account,.js,1,0.6466039860430298,0.42331494552282223,2,0,2023-12-11 13:32:23.400821,2024-08-14 13:32:23.400821,932,4,13,6,0.06368285245774463,6,evening,1
0.4893838282721884,feedback requested,please find attached,.txt,1,0.4017796887647721,0.036279590437988785,9,0,2024-03-23 03:50:46.707950,2024-12-22 03:50:46.707950,962,2,11,6,0.40480972527471404,5,evening,0
0.9163163281528409,feedback requested,invitation,.png,1,0.8961639678036979,0.9928883394487997,7,0,2023-06-08 23:23:15.676686,2023-07-16 23:23:15.676686,501,3,27,4,0.6528869779420006,6,afternoon,0
0.4144311071984377,welcome,attached file,.pdf,1,0.48797146287550364,0.24889633693431434,3,0,2023-08-07 15:30:56.649217,2023-10-10 15:30:56.649217,293,1,23,7,0.8381218487902539,4,morning,0
0.7122213205174498,welcome,subscription update,.jpg,1,0.6592108722926353,0.4830261380541473,2,0,2024-01-26 12:54:07.185723,2025-01-08 12:54:07.185723,332,0,26,9,0.4298268247408463,1,morning,0
0.344926840216381,invoice,feedback request,.doc,1,0.5579287486896849,0.8778057096208685,8,0,2023-11-06 17:35:56.379968,2024-02-23 17:35:56.379968,687,0,14,8,0.3926873140963686,9,afternoon,0
0.11602134174792322,announcement,report,.pdf,1,0.4218031984284386,0.9297386081253257,8,0,2024-02-03 18:04:52.115894,2024-02-28 18:04:52.115894,621,1,19,8,0.6192374301124837,6,morning,0
0.6187383497827531,security alert,urgent,.exe,1,0.4930126323214984,0.56861265523356,7,0,2023-06-17 08:38:13.770219,2023-10-06 08:38:13.770219,298,3,23,5,0.016328556337123157,9,evening,1
0.2876318040718707,subscription update,please find attached,.jpg,1,0.4780581114561603,0.7622857368464868,5,0,2023-09-30 23:28:31.244866,2024-02-04 23:28:31.244866,898,4,19,9,0.7185279106844611,5,evening,0
0.4718112587934845,immediate action needed,payment verification required,.exe,0,0.03355705155164557,0.6503897409437399,3,0,2023-05-11 17:45:00.684049,2024-04-29 17:45:00.684049,931,3,27,5,0.31843500037045713,2,evening,1
0.4926246372377683,welcome,details attached,.png,1,0.7221370879296615,0.38804041766125463,1,0,2023-09-13 11:23:58.533227,2024-02-02 11:23:58.533227,407,3,25,6,0.8693985234248767,6,evening,0
0.6860875233116485,urgent,verify your account,.zip,0,0.40784732354786835,0.28375165033142646,9,0,2023-09-21 18:16:40.851899,2024-08-05 18:16:40.851899,342,3,7,3,0.32019849660315114,5,afternoon,1
0.6048040939548113,security alert,payment verification required,.js,1,0.15098192404854827,0.012358978456530112,1,0,2023-05-31 18:09:07.791206,2023-06-24 18:09:07.791206,286,3,6,1,0.9199049473732226,6,afternoon,1
0.24151087564686813,account suspension,suspicious activity detected,.js,0,0.7555695068163066,0.8648747723595562,8,0,2024-02-25 03:51:29.033395,2024-04-29 03:51:29.033395,423,1,6,2,0.3482718608414366,7,afternoon,1
0.815205208915914,suspicious activity detected,confirm your identity,.zip,1,0.48667668990867885,0.5978294240332842,2,0,2024-04-18 17:42:16.153210,2024-04-26 17:42:16.153210,873,4,28,6,0.5398292008691002,3,evening,1
0.015554046591384818,account suspension,action required,.zip,1,0.6418878867297402,0.5578971984157327,3,0,2024-02-22 03:35:09.194363,2024-09-27 03:35:09.194363,819,4,21,4,0.28897974960124395,4,afternoon,1
0.8555940214921984,welcome,meeting,.txt,0,0.3538553859275756,0.3606365480036352,6,0,2023-07-11 14:27:21.375700,2024-07-09 14:27:21.375700,286,0,10,7,0.7221807474198125,8,afternoon,0
0.010451060317897554,report,attached file,.jpg,0,0.08920183899549483,0.13686392085617405,7,0,2023-05-04 02:22:58.027584,2023-12-28 02:22:58.027584,231,0,12,3,0.19471061975702364,1,evening,0
0.02643275035129844,confirmation,feedback request,.jpg,0,0.7483025138261883,0.5999094679032204,6,0,2024-01-18 14:45:07.788722,2024-01-27 14:45:07.788722,668,4,1,5,0.785996639200037,3,morning,0
0.7962267741163433,please find attached,announcement,.doc,0,0.946451381628048,0.31985205808585715,4,0,2023-09-01 04:40:12.858844,2024-01-19 04:40:12.858844,987,0,6,9,0.5606602343298536,3,evening,0
0.5929136777418136,action required,urgent,.zip,0,0.19985128064327706,0.4927933536643705,3,0,2023-08-26 14:06:58.840521,2023-12-10 14:06:58.840521,747,2,22,1,0.5454838108295352,5,afternoon,1
0.8998735266665294,payment verification required,your account has been compromised,.js,0,0.8928489886751774,0.9265179970195898,4,0,2023-07-02 13:05:50.222282,2024-03-17 13:05:50.222282,403,4,9,4,0.6625330336905961,2,evening,1
